component,parent,depth,score,role
a7.h9,a9.h9,3,0.054615020751953125,accepted
a7.h9,a9.h9,3,0.054615020751953125,accepted
a8.h6,a9.h9,3,0.09115409851074219,accepted
a8.h6,a9.h9,3,0.09115409851074219,accepted
a7.h9,a11.h6,1,0.158447265625,accepted
a8.h10,a11.h6,1,0.21562767028808594,accepted
a8.h6,a11.h6,1,0.14768218994140625,accepted
a10.h10,a11.h6,1,0.15828895568847656,accepted
a8.h6,a11.h6,1,0.14768218994140625,accepted
a7.h1,a8.h6,2,0.05519294738769531,accepted
a7.h1,a8.h6,2,0.05519294738769531,accepted
a5.h5,a8.h6,2,0.1769256591796875,accepted
a5.h5,a8.h6,2,0.1769256591796875,accepted
m0,a5.h5,3,0.053497314453125,accepted
input,m0,4,0.05328559875488281,accepted
a6.h9,a8.h6,2,0.09471511840820312,accepted
a6.h9,a8.h6,2,0.09471511840820312,accepted
a8.h3,a11.h6,1,0.05396270751953125,accepted
a9.h2,logits,0,0.061068058013916016,accepted
a8.h6,a9.h2,1,0.07013225555419922,accepted
a8.h6,a9.h2,1,0.07013225555419922,accepted
a8.h10,logits,0,0.41300296783447266,accepted
a7.h9,logits,0,0.3570065498352051,accepted
m9,logits,0,0.3955540657043457,accepted
a9.h9,m9,1,0.3091259002685547,accepted
a9.h6,m9,1,0.07852745056152344,accepted
a9.h6,m9,1,0.07852745056152344,accepted
a9.h9,m9,1,0.3091259002685547,accepted
a8.h6,a9.h9,2,0.07291603088378906,accepted
a8.h6,a9.h9,2,0.07291603088378906,accepted
m8,m9,1,0.061710357666015625,accepted
a8.h6,m8,2,0.08228111267089844,accepted
a8.h6,m8,2,0.08228111267089844,accepted
a11.h1,logits,0,0.1348133087158203,accepted
a9.h9,a11.h1,1,0.05994415283203125,accepted
a10.h7,a11.h1,1,0.05900764465332031,accepted
a9.h6,a11.h1,1,0.05501842498779297,accepted
m10,a11.h1,1,0.06250953674316406,accepted
a9.h6,a11.h1,1,0.05501842498779297,accepted
a8.h10,a11.h1,1,0.06593513488769531,accepted
a9.h9,a11.h1,1,0.05994415283203125,accepted
a10.h7,a11.h1,1,0.05900764465332031,accepted
a8.h10,a11.h1,1,0.06593513488769531,accepted
a8.h6,a11.h1,1,0.07327842712402344,accepted
a8.h6,a11.h1,1,0.07327842712402344,accepted
a6.h9,a8.h6,2,0.05493927001953125,accepted
a6.h9,a8.h6,2,0.05493927001953125,accepted
m11,logits,0,0.1457207202911377,accepted
a9.h9,m11,1,0.054107666015625,accepted
a11.h0,m11,1,0.1564188003540039,accepted
a10.h7,m11,1,0.0966796875,accepted
a7.h3,m11,1,0.06452178955078125,accepted
a9.h6,m11,1,0.054904937744140625,accepted
a9.h6,m11,1,0.054904937744140625,accepted
a10.h7,m11,1,0.0966796875,accepted
a9.h9,a10.h7,2,0.13916015625,accepted
a9.h6,a10.h7,2,0.06458473205566406,accepted
a9.h6,a10.h7,2,0.06458473205566406,accepted
a9.h9,a10.h7,2,0.13916015625,accepted
m9,a10.h7,2,0.07251930236816406,accepted
a9.h9,m11,1,0.054107666015625,accepted
a7.h3,m11,1,0.06452178955078125,accepted
m8,m11,1,0.17423343658447266,accepted
a7.h9,m8,2,0.10867691040039062,accepted
a7.h9,m8,2,0.10867691040039062,accepted
a8.h6,m8,2,0.13542556762695312,accepted
a5.h5,a8.h6,3,0.070648193359375,accepted
a5.h5,a8.h6,3,0.070648193359375,accepted
a8.h6,m8,2,0.13542556762695312,accepted
a11.h4,m11,1,0.08815670013427734,accepted
a8.h6,m11,1,0.08187580108642578,accepted
a11.h0,m11,1,0.1564188003540039,accepted
a9.h9,a11.h0,2,0.06361198425292969,accepted
a10.h7,a11.h0,2,0.06719970703125,accepted
a9.h9,a11.h0,2,0.06361198425292969,accepted
m8,a11.h0,2,0.09884262084960938,accepted
a7.h9,m8,3,0.05401802062988281,accepted
a7.h9,m8,3,0.05401802062988281,accepted
a8.h6,m8,3,0.09665489196777344,accepted
a8.h6,m8,3,0.09665489196777344,accepted
a10.h7,a11.h0,2,0.06719970703125,accepted
a11.h4,m11,1,0.08815670013427734,accepted
a8.h10,a11.h4,2,0.05344390869140625,accepted
a8.h10,a11.h4,2,0.05344390869140625,accepted
a11.h8,m11,1,0.06046772003173828,accepted
a8.h6,m11,1,0.08187580108642578,accepted
a7.h1,a8.h6,2,0.06909751892089844,accepted
a7.h1,a8.h6,2,0.06909751892089844,accepted
a5.h5,a8.h6,2,0.07903671264648438,accepted
a5.h5,a8.h6,2,0.07903671264648438,accepted
a6.h9,a8.h6,2,0.09312248229980469,accepted
a6.h9,a8.h6,2,0.09312248229980469,accepted
a11.h8,m11,1,0.06046772003173828,accepted
a8.h6,logits,0,0.22171330451965332,accepted
m0,a8.h6,1,0.13548851013183594,accepted
input,m0,2,0.143585205078125,accepted
a9.h9,logits,0,6.228172302246094,accepted
m5,a9.h9,1,0.05482292175292969,accepted
a5.h5,a9.h9,1,0.05242300033569336,accepted
a5.h5,a9.h9,1,0.05242300033569336,accepted
a9.h0,logits,0,0.11633539199829102,accepted
a8.h6,a9.h0,1,0.06140708923339844,accepted
a8.h6,a9.h0,1,0.06140708923339844,accepted
a10.h7,logits,0,3.6608753204345703,accepted
a9.h9,a10.h7,1,2.331480026245117,accepted
a9.h6,a10.h7,1,0.8109188079833984,accepted
a9.h6,a10.h7,1,0.8109188079833984,accepted
a8.h10,a10.h7,1,0.11636543273925781,accepted
a9.h9,a10.h7,1,2.331480026245117,accepted
a7.h9,a9.h9,2,0.06617546081542969,accepted
a8.h10,a9.h9,2,0.05832672119140625,accepted
a8.h10,a9.h9,2,0.05832672119140625,accepted
a7.h9,a9.h9,2,0.06617546081542969,accepted
a8.h6,a9.h9,2,0.10087966918945312,accepted
a8.h6,a9.h9,2,0.10087966918945312,accepted
a8.h10,a10.h7,1,0.11636543273925781,accepted
m8,a10.h7,1,0.06649208068847656,accepted
m9,a10.h7,1,0.21818923950195312,accepted
a8.h6,a10.h7,1,0.083587646484375,accepted
a8.h6,a10.h7,1,0.083587646484375,accepted
a10.h10,logits,0,1.0521516799926758,accepted
a9.h7,a10.h10,1,0.05939006805419922,accepted
a5.h5,a9.h7,2,0.052276611328125,accepted
a5.h5,a9.h7,2,0.052276611328125,accepted
a8.h3,a10.h10,1,0.0694122314453125,accepted
a9.h6,a10.h10,1,0.4253997802734375,accepted
a8.h10,a10.h10,1,0.48352909088134766,accepted
a3.h0,a8.h10,2,0.07155418395996094,accepted
a3.h0,a8.h10,2,0.07155418395996094,accepted
m0,a3.h0,3,0.08043289184570312,accepted
input,m0,4,0.07978057861328125,accepted
m6,a8.h10,2,0.07564353942871094,accepted
a5.h5,a8.h10,2,0.15410232543945312,accepted
a5.h5,a8.h10,2,0.15410232543945312,accepted
m0,a5.h5,3,0.07589149475097656,accepted
input,m0,4,0.0809173583984375,accepted
a6.h9,a8.h10,2,0.06581306457519531,accepted
a6.h9,a8.h10,2,0.06581306457519531,accepted
a8.h10,a10.h10,1,0.48352909088134766,accepted
a7.h9,a10.h10,1,0.41894054412841797,accepted
a6.h1,a10.h10,1,0.050606727600097656,accepted
m9,a10.h10,1,0.13471508026123047,accepted
a8.h3,m9,2,0.054416656494140625,accepted
a8.h6,m9,2,0.05228424072265625,accepted
a8.h3,m9,2,0.054416656494140625,accepted
a8.h6,m9,2,0.05228424072265625,accepted
a8.h6,a10.h10,1,0.9723958969116211,accepted
a3.h0,a8.h6,2,0.083465576171875,accepted
m0,a3.h0,3,0.06815719604492188,accepted
input,m0,4,0.05539703369140625,accepted
a5.h5,a8.h6,2,0.2586994171142578,accepted
a3.h0,a8.h6,2,0.083465576171875,accepted
a5.h5,a8.h6,2,0.2586994171142578,accepted
a9.h9,a10.h10,1,0.37374019622802734,accepted
a7.h3,a10.h10,1,0.14753246307373047,accepted
a8.h3,a10.h10,1,0.0694122314453125,accepted
a7.h3,a8.h3,2,0.07672309875488281,accepted
a7.h3,a8.h3,2,0.07672309875488281,accepted
m7,a8.h3,2,0.05553245544433594,accepted
a7.h3,a10.h10,1,0.14753246307373047,accepted
a6.h0,a7.h3,2,0.06604385375976562,accepted
a5.h5,a7.h3,2,0.05960845947265625,accepted
a6.h0,a7.h3,2,0.06604385375976562,accepted
a5.h5,a7.h3,2,0.05960845947265625,accepted
a9.h3,a10.h10,1,0.06650829315185547,accepted
a7.h9,a10.h10,1,0.41894054412841797,accepted
a3.h0,a7.h9,2,0.05051422119140625,accepted
a5.h5,a7.h9,2,0.12840843200683594,accepted
a3.h0,a7.h9,2,0.05051422119140625,accepted
a5.h5,a7.h9,2,0.12840843200683594,accepted
a9.h7,a10.h10,1,0.05939006805419922,accepted
m8,a10.h10,1,0.0819854736328125,accepted
a8.h10,m8,2,0.054836273193359375,accepted
a8.h3,m8,2,0.059467315673828125,accepted
a8.h10,m8,2,0.054836273193359375,accepted
a8.h3,m8,2,0.059467315673828125,accepted
a6.h1,a10.h10,1,0.050606727600097656,accepted
a9.h6,a10.h10,1,0.4253997802734375,accepted
a8.h6,a9.h6,2,0.10421562194824219,accepted
a5.h5,a8.h6,3,0.06426239013671875,accepted
a5.h5,a8.h6,3,0.06426239013671875,accepted
a8.h6,a9.h6,2,0.10421562194824219,accepted
a9.h9,a10.h10,1,0.37374019622802734,accepted
a7.h9,a9.h9,2,0.06524085998535156,accepted
a8.h10,a9.h9,2,0.07761955261230469,accepted
a8.h10,a9.h9,2,0.07761955261230469,accepted
a7.h9,a9.h9,2,0.06524085998535156,accepted
a8.h6,a9.h9,2,0.15285301208496094,accepted
a8.h6,a9.h9,2,0.15285301208496094,accepted
a8.h6,a10.h10,1,0.9723958969116211,accepted
a9.h3,a10.h10,1,0.06650829315185547,accepted
a9.h8,logits,0,0.07581138610839844,accepted
a8.h6,a9.h8,1,0.058074951171875,accepted
a8.h6,a9.h8,1,0.058074951171875,accepted
a9.h2,logits,0,0.061068058013916016,accepted
a11.h1,logits,0,0.1348133087158203,accepted
a10.h0,logits,0,0.9850494861602783,accepted
a10.h10,logits,0,1.0521516799926758,accepted
a10.h7,logits,0,3.6608753204345703,accepted
m0,a10.h7,1,0.05186653137207031,accepted
input,m0,2,0.06517791748046875,accepted
a8.h8,logits,0,0.05157041549682617,accepted
a7.h9,logits,0,0.3570065498352051,accepted
m0,a7.h9,1,0.13871002197265625,accepted
a5.h5,a7.h9,1,0.053668975830078125,accepted
a5.h5,a7.h9,1,0.053668975830078125,accepted
a11.h2,logits,0,0.7337722778320312,accepted
a9.h7,a11.h2,1,0.07661247253417969,accepted
a8.h3,a11.h2,1,0.08619499206542969,accepted
a9.h6,a11.h2,1,0.31455039978027344,accepted
a8.h10,a11.h2,1,0.2806262969970703,accepted
a9.h4,a11.h2,1,0.16694068908691406,accepted
a8.h10,a11.h2,1,0.2806262969970703,accepted
a7.h9,a11.h2,1,0.1441631317138672,accepted
m9,a11.h2,1,0.10408592224121094,accepted
a8.h6,a11.h2,1,0.05131340026855469,accepted
a7.h1,a8.h6,2,0.08520698547363281,accepted
m5,a8.h6,2,0.063201904296875,accepted
a7.h1,a8.h6,2,0.08520698547363281,accepted
a5.h5,a8.h6,2,0.1476612091064453,accepted
a5.h5,a8.h6,2,0.1476612091064453,accepted
a6.h9,a8.h6,2,0.12772178649902344,accepted
a6.h9,a8.h6,2,0.12772178649902344,accepted
a9.h9,a11.h2,1,0.38496971130371094,accepted
a10.h7,a11.h2,1,0.09088897705078125,accepted
a7.h3,a11.h2,1,0.2078838348388672,accepted
a10.h0,a11.h2,1,0.23301315307617188,accepted
a8.h3,a11.h2,1,0.08619499206542969,accepted
a10.h7,a11.h2,1,0.09088897705078125,accepted
a7.h3,a11.h2,1,0.2078838348388672,accepted
a7.h9,a11.h2,1,0.1441631317138672,accepted
a9.h7,a11.h2,1,0.07661247253417969,accepted
m8,a11.h2,1,0.08608818054199219,accepted
a7.h9,m8,2,0.054264068603515625,accepted
a7.h9,m8,2,0.054264068603515625,accepted
a9.h6,a11.h2,1,0.31455039978027344,accepted
a8.h10,a9.h6,2,0.05317497253417969,accepted
a8.h6,a9.h6,2,0.15427589416503906,accepted
a8.h10,a9.h6,2,0.05317497253417969,accepted
a8.h6,a9.h6,2,0.15427589416503906,accepted
m10,a11.h2,1,0.2741870880126953,accepted
m9,m10,2,0.06235694885253906,accepted
a9.h4,a11.h2,1,0.16694068908691406,accepted
a9.h9,a11.h2,1,0.38496971130371094,accepted
a7.h9,a9.h9,2,0.0647430419921875,accepted
a8.h10,a9.h9,2,0.07957649230957031,accepted
a8.h10,a9.h9,2,0.07957649230957031,accepted
a7.h9,a9.h9,2,0.0647430419921875,accepted
a8.h6,a9.h9,2,0.2261943817138672,accepted
a8.h6,a9.h9,2,0.2261943817138672,accepted
a10.h0,a11.h2,1,0.23301315307617188,accepted
a9.h9,a10.h0,2,0.06517601013183594,accepted
a9.h6,a10.h0,2,0.10474014282226562,accepted
a9.h6,a10.h0,2,0.10474014282226562,accepted
a7.h9,a10.h0,2,0.07619667053222656,accepted
a8.h10,a10.h0,2,0.10767936706542969,accepted
a9.h9,a10.h0,2,0.06517601013183594,accepted
a8.h10,a10.h0,2,0.10767936706542969,accepted
a7.h9,a10.h0,2,0.07619667053222656,accepted
m9,a10.h0,2,0.07608795166015625,accepted
a8.h6,a10.h0,2,0.18812179565429688,accepted
a8.h6,a10.h0,2,0.18812179565429688,accepted
a8.h6,a11.h2,1,0.05131340026855469,accepted
a9.h7,logits,0,0.11481523513793945,accepted
a9.h8,logits,0,0.07581138610839844,accepted
m0,a9.h8,1,0.05184745788574219,accepted
a10.h6,logits,0,0.6298172473907471,accepted
a7.h3,a10.h6,1,0.08118343353271484,accepted
a9.h6,a10.h6,1,0.19698429107666016,accepted
a8.h6,a9.h6,2,0.0526275634765625,accepted
a8.h6,a9.h6,2,0.0526275634765625,accepted
a7.h9,a10.h6,1,0.18565654754638672,accepted
a5.h5,a7.h9,2,0.09688949584960938,accepted
a5.h5,a7.h9,2,0.09688949584960938,accepted
a8.h10,a10.h6,1,0.2532234191894531,accepted
a5.h5,a8.h10,2,0.0903167724609375,accepted
a5.h5,a8.h10,2,0.0903167724609375,accepted
m0,a5.h5,3,0.061344146728515625,accepted
input,m0,4,0.06823158264160156,accepted
a9.h6,a10.h6,1,0.19698429107666016,accepted
a7.h3,a10.h6,1,0.08118343353271484,accepted
m8,a10.h6,1,0.07861328125,accepted
a8.h10,a10.h6,1,0.2532234191894531,accepted
a7.h9,a10.h6,1,0.18565654754638672,accepted
m9,a10.h6,1,0.079193115234375,accepted
a8.h6,a10.h6,1,0.3601694107055664,accepted
a8.h6,a10.h6,1,0.3601694107055664,accepted
a5.h5,a8.h6,2,0.12493705749511719,accepted
a5.h5,a8.h6,2,0.12493705749511719,accepted
a11.h6,logits,0,0.3032419681549072,accepted
m0,a11.h6,1,0.057529449462890625,accepted
input,m0,2,0.05448341369628906,accepted
a11.h2,logits,0,0.7337722778320312,accepted
m0,a11.h2,1,0.08073806762695312,accepted
input,m0,2,0.07299232482910156,accepted
a10.h1,logits,0,0.4584677219390869,accepted
a9.h9,a10.h1,1,0.06555557250976562,accepted
a7.h3,a10.h1,1,0.09097862243652344,accepted
a9.h6,a10.h1,1,0.1421222686767578,accepted
a8.h6,a9.h6,2,0.062084197998046875,accepted
a8.h6,a9.h6,2,0.062084197998046875,accepted
a7.h9,a10.h1,1,0.1490478515625,accepted
a8.h10,a10.h1,1,0.22465038299560547,accepted
a9.h9,a10.h1,1,0.06555557250976562,accepted
a8.h6,a9.h9,2,0.060321807861328125,accepted
a8.h6,a9.h9,2,0.060321807861328125,accepted
a9.h6,a10.h1,1,0.1421222686767578,accepted
a7.h3,a10.h1,1,0.09097862243652344,accepted
a8.h10,a10.h1,1,0.22465038299560547,accepted
a7.h9,a10.h1,1,0.1490478515625,accepted
m9,a10.h1,1,0.05275249481201172,accepted
a8.h6,a10.h1,1,0.2996702194213867,accepted
a8.h6,a10.h1,1,0.2996702194213867,accepted
a5.h5,a8.h6,2,0.05843162536621094,accepted
a5.h5,a8.h6,2,0.05843162536621094,accepted
a9.h0,logits,0,0.11633539199829102,accepted
a9.h6,logits,0,2.304689645767212,accepted
a7.h3,a9.h6,1,0.15664005279541016,accepted
a7.h9,a9.h6,1,0.35455989837646484,accepted
a8.h10,a9.h6,1,0.41633129119873047,accepted
a5.h5,a8.h10,2,0.05389404296875,accepted
a5.h5,a8.h10,2,0.05389404296875,accepted
a7.h3,a9.h6,1,0.15664005279541016,accepted
m8,a9.h6,1,0.07553577423095703,accepted
a8.h10,a9.h6,1,0.41633129119873047,accepted
a7.h9,a9.h6,1,0.35455989837646484,accepted
a8.h6,a9.h6,1,1.235936164855957,accepted
a8.h6,a9.h6,1,1.235936164855957,accepted
a5.h5,a8.h6,2,0.05617523193359375,accepted
a5.h5,a8.h6,2,0.05617523193359375,accepted
m10,logits,0,0.21431851387023926,accepted
a9.h9,m10,1,0.4833335876464844,accepted
a10.h7,m10,1,0.23966217041015625,accepted
a7.h9,m10,1,0.05075836181640625,accepted
a10.h7,m10,1,0.23966217041015625,accepted
a9.h9,a10.h7,2,0.09246063232421875,accepted
a9.h9,a10.h7,2,0.09246063232421875,accepted
a9.h9,m10,1,0.4833335876464844,accepted
a8.h6,a9.h9,2,0.05036735534667969,accepted
a8.h6,a9.h9,2,0.05036735534667969,accepted
a7.h9,m10,1,0.05075836181640625,accepted
m9,m10,1,0.08426475524902344,accepted
a9.h6,m9,2,0.08144187927246094,accepted
a8.h6,m9,2,0.05305290222167969,accepted
a9.h6,m9,2,0.08144187927246094,accepted
a8.h6,m9,2,0.05305290222167969,accepted
a8.h6,m10,1,0.09695911407470703,accepted
a8.h6,m10,1,0.09695911407470703,accepted
a10.h1,logits,0,0.4584677219390869,accepted
a9.h9,logits,0,6.228172302246094,accepted
a7.h3,a9.h9,1,0.35670900344848633,accepted
a8.h3,a9.h9,1,0.05815315246582031,accepted
a7.h9,a9.h9,1,1.2172021865844727,accepted
a8.h10,a9.h9,1,1.301403522491455,accepted
a5.h5,a8.h10,2,0.05841827392578125,accepted
a5.h5,a8.h10,2,0.05841827392578125,accepted
m0,a5.h5,3,0.05208778381347656,accepted
input,m0,4,0.0817718505859375,accepted
m6,a8.h10,2,0.06194305419921875,accepted
a8.h6,a9.h9,1,3.5146408081054688,accepted
a7.h3,a9.h9,1,0.35670900344848633,accepted
m8,a9.h9,1,0.05298328399658203,accepted
a6.h1,a9.h9,1,0.0985417366027832,accepted
a7.h9,a9.h9,1,1.2172021865844727,accepted
a6.h1,a9.h9,1,0.0985417366027832,accepted
a8.h5,a9.h9,1,0.05041837692260742,accepted
a8.h10,a9.h9,1,1.301403522491455,accepted
a8.h5,a9.h9,1,0.05041837692260742,accepted
a8.h6,a9.h9,1,3.5146408081054688,accepted
a5.h5,a8.h6,2,0.05495452880859375,accepted
a5.h5,a8.h6,2,0.05495452880859375,accepted
m0,a5.h5,3,0.08312797546386719,accepted
input,m0,4,0.09365463256835938,accepted
a8.h3,a9.h9,1,0.05815315246582031,accepted
a10.h0,logits,0,0.9850494861602783,accepted
a9.h7,a10.h0,1,0.06473827362060547,accepted
a9.h6,a10.h0,1,0.4643898010253906,accepted
a8.h10,a10.h0,1,0.5369052886962891,accepted
a3.h0,a8.h10,2,0.053775787353515625,accepted
a3.h0,a8.h10,2,0.053775787353515625,accepted
m0,a3.h0,3,0.06948089599609375,accepted
input,m0,4,0.06852531433105469,accepted
m7,a8.h10,2,0.057346343994140625,accepted
a5.h5,a8.h10,2,0.0897216796875,accepted
a5.h5,a8.h10,2,0.0897216796875,accepted
m0,a5.h5,3,0.05898094177246094,accepted
input,m0,4,0.05933380126953125,accepted
a6.h9,a8.h10,2,0.05695343017578125,accepted
a6.h9,a8.h10,2,0.05695343017578125,accepted
a8.h10,a10.h0,1,0.5369052886962891,accepted
a7.h9,a10.h0,1,0.38990020751953125,accepted
m9,a10.h0,1,0.2890644073486328,accepted
a8.h6,a10.h0,1,0.736724853515625,accepted
a5.h5,a8.h6,2,0.19858360290527344,accepted
a5.h5,a8.h6,2,0.19858360290527344,accepted
a9.h9,a10.h0,1,0.26930809020996094,accepted
a9.h0,a10.h0,1,0.08159255981445312,accepted
a7.h3,a10.h0,1,0.18267822265625,accepted
a7.h3,a10.h0,1,0.18267822265625,accepted
a6.h0,a7.h3,2,0.05440330505371094,accepted
a6.h0,a7.h3,2,0.05440330505371094,accepted
a9.h3,a10.h0,1,0.07640838623046875,accepted
a7.h9,a10.h0,1,0.38990020751953125,accepted
a3.h0,a7.h9,2,0.05981636047363281,accepted
a5.h5,a7.h9,2,0.12038612365722656,accepted
a3.h0,a7.h9,2,0.05981636047363281,accepted
a5.h5,a7.h9,2,0.12038612365722656,accepted
a9.h7,a10.h0,1,0.06473827362060547,accepted
m8,a10.h0,1,0.05512046813964844,accepted
a9.h0,a10.h0,1,0.08159255981445312,accepted
a9.h6,a10.h0,1,0.4643898010253906,accepted
a8.h6,a9.h6,2,0.09680938720703125,accepted
a5.h5,a8.h6,3,0.07092666625976562,accepted
a5.h5,a8.h6,3,0.07092666625976562,accepted
a8.h6,a9.h6,2,0.09680938720703125,accepted
a9.h9,a10.h0,1,0.26930809020996094,accepted
a8.h6,a9.h9,2,0.09726333618164062,accepted
a5.h5,a8.h6,3,0.05183219909667969,accepted
a5.h5,a8.h6,3,0.05183219909667969,accepted
a8.h6,a9.h9,2,0.09726333618164062,accepted
a8.h6,a10.h0,1,0.736724853515625,accepted
a9.h3,a10.h0,1,0.07640838623046875,accepted
a11.h10,logits,0,2.2787156105041504,accepted
m0,a11.h10,1,0.06971359252929688,accepted
a8.h8,logits,0,0.05157041549682617,accepted
a11.h10,logits,0,2.2787156105041504,accepted
a9.h9,a11.h10,1,2.0406951904296875,accepted
a10.h7,a11.h10,1,0.4464988708496094,accepted
a9.h6,a11.h10,1,0.6285171508789062,accepted
a8.h6,a9.h6,2,0.0889434814453125,accepted
a8.h6,a9.h6,2,0.0889434814453125,accepted
a9.h6,a11.h10,1,0.6285171508789062,accepted
a10.h1,a11.h10,1,0.09968376159667969,accepted
a9.h9,a11.h10,1,2.0406951904296875,accepted
a7.h3,a9.h9,2,0.07870292663574219,accepted
a7.h9,a9.h9,2,0.22230148315429688,accepted
a8.h10,a9.h9,2,0.2514762878417969,accepted
a7.h3,a9.h9,2,0.07870292663574219,accepted
a8.h10,a9.h9,2,0.2514762878417969,accepted
a7.h9,a9.h9,2,0.22230148315429688,accepted
a8.h6,a9.h9,2,0.4628620147705078,accepted
a8.h6,a9.h9,2,0.4628620147705078,accepted
a10.h0,a11.h10,1,0.09750175476074219,accepted
a8.h10,a11.h10,1,0.08721542358398438,accepted
a10.h10,a11.h10,1,0.3169879913330078,accepted
a10.h7,a11.h10,1,0.4464988708496094,accepted
a9.h9,a10.h7,2,0.06492233276367188,accepted
a9.h9,a10.h7,2,0.06492233276367188,accepted
a8.h6,a9.h9,3,0.05531501770019531,accepted
a8.h6,a9.h9,3,0.05531501770019531,accepted
a8.h10,a11.h10,1,0.08721542358398438,accepted
m9,a11.h10,1,0.146881103515625,accepted
a10.h6,a11.h10,1,0.07862091064453125,accepted
a10.h6,a11.h10,1,0.07862091064453125,accepted
a10.h0,a11.h10,1,0.09750175476074219,accepted
a10.h10,a11.h10,1,0.3169879913330078,accepted
a10.h1,a11.h10,1,0.09968376159667969,accepted
a8.h6,logits,0,0.22171330451965332,accepted
a10.h6,logits,0,0.6298172473907471,accepted
m1,a8.h6,1,8.392333984375e-05,rejected
m3,a8.h6,1,0.0036373138427734375,rejected
m1,a8.h6,1,0.0002765655517578125,rejected
m3,a8.h6,1,0.000423431396484375,rejected
m1,a8.h6,2,0.0002956390380859375,rejected
m3,a8.h6,2,0.00051116943359375,rejected
m1,a8.h6,2,0.010540008544921875,rejected
m3,a8.h6,2,0.0223236083984375,rejected
m1,a8.h6,2,0.000152587890625,rejected
m3,a8.h6,2,0.0032138824462890625,rejected
m1,a8.h6,2,3.62396240234375e-05,rejected
m3,a8.h6,2,7.05718994140625e-05,rejected
m1,a8.h6,2,0.0004730224609375,rejected
m3,a8.h6,2,0.0008392333984375,rejected
m1,a8.h6,2,0.0019378662109375,rejected
m3,a8.h6,2,0.0025157928466796875,rejected
m1,a8.h6,2,0.00042724609375,rejected
m3,a8.h6,2,0.0010623931884765625,rejected
m1,a8.h6,2,0.0240631103515625,rejected
m3,a8.h6,2,0.030933380126953125,rejected
m1,m5,2,0.0059413909912109375,rejected
m2,m5,2,0.011182785034179688,rejected
m3,m5,2,0.005741119384765625,rejected
m4,m5,2,0.001186370849609375,rejected
m1,a5.h5,2,5.7220458984375e-06,rejected
m1,a5.h5,2,0.0056743621826171875,rejected
m1,a8.h6,2,0.0036029815673828125,rejected
m3,a8.h6,2,0.001873016357421875,rejected
m1,a8.h6,2,7.62939453125e-05,rejected
m3,a8.h6,2,0.0001506805419921875,rejected
m1,a8.h6,2,1.33514404296875e-05,rejected
m3,a8.h6,2,1.52587890625e-05,rejected
m1,a8.h6,2,3.62396240234375e-05,rejected
m3,a8.h6,2,9.34600830078125e-05,rejected
m1,a8.h6,2,0.013580322265625,rejected
m3,a8.h6,2,0.027082443237304688,rejected
m1,a8.h6,2,0.0008411407470703125,rejected
